,months_since_last_delinq,inquiries_last_12m,months_since_90d_late,accounts_opened_24m,num_active_debit_accounts,total_debit_limit,num_mort_accounts,account_never_delinq_percent,public_record_bankrupt,interest_rate,square_months_since_last_delinq,never_late_payment,delinq_risk_category,log_total_debit_limit,log_num_active_debit_accounts,has_bankruptcy
0,38.0,6,38.0,5,2,11100,1,92.9,0,14.07,1444.0,0,Moderate Risk,9.314790473332646,1.0986122886681098,0
1,119.0,1,129.0,11,3,16500,0,100.0,1,12.61,14161.0,1,Perfect,9.711176264112805,1.3862943611198906,1
2,28.0,4,28.0,13,3,4300,0,93.5,0,17.09,784.0,0,Moderate Risk,8.366602832783736,1.3862943611198906,0
3,119.0,0,129.0,1,2,19400,0,100.0,0,6.72,14161.0,1,Perfect,9.873079890114703,1.0986122886681098,0
4,119.0,7,129.0,6,10,32700,0,100.0,0,14.07,14161.0,1,Perfect,10.39516093745751,2.3978952727983707,0
5,3.0,6,60.0,2,1,27200,3,78.1,0,6.72,9.0,0,High Risk,10.211009016314167,0.6931471805599453,0
6,119.0,1,129.0,1,3,9100,2,100.0,0,13.59,14161.0,1,Perfect,9.116139576577355,1.3862943611198906,0
7,19.0,1,71.0,4,5,22250,7,93.0,0,11.99,361.0,0,Moderate Risk,10.010142230404668,1.791759469228055,0
8,18.0,3,18.0,10,11,36700,2,97.1,0,13.59,324.0,0,Low Risk,10.510559281627845,2.4849066497880004,0
9,119.0,0,129.0,5,3,14700,0,100.0,0,6.71,14161.0,1,Perfect,9.595670797663967,1.3862943611198906,0
10,50.0,4,129.0,6,2,5000,2,94.1,1,15.04,2500.0,1,Moderate Risk,8.517393171418904,1.0986122886681098,1
11,119.0,4,129.0,7,2,9000,3,92.0,0,9.92,14161.0,1,Moderate Risk,9.105090961257085,1.0986122886681098,0
12,37.0,8,37.0,11,3,12100,3,84.4,0,13.59,1369.0,0,Moderate Risk,9.401043372798053,1.3862943611198906,0
13,44.0,6,129.0,7,4,70800,3,98.4,0,9.43,1936.0,1,Low Risk,11.167628403875849,1.6094379124341003,0
14,6.0,0,6.0,4,2,3600,1,90.9,1,19.03,36.0,0,Moderate Risk,8.188966863648876,1.0986122886681098,1
15,119.0,0,129.0,1,3,39700,2,100.0,0,19.03,14161.0,1,Perfect,10.589131655274922,1.3862943611198906,0
16,77.0,4,129.0,8,2,15800,2,95.2,0,19.03,5929.0,1,Low Risk,9.6678285081515,1.0986122886681098,0
17,37.0,6,37.0,3,1,2500,0,91.7,0,28.72,1369.0,0,Moderate Risk,7.824445930877619,0.6931471805599453,0
18,119.0,2,129.0,6,2,17500,5,100.0,0,26.77,14161.0,1,Perfect,9.770013301136158,1.0986122886681098,0
