,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,interest_rate,is_renter,state_grouped,log_transformed_annual_income,log_transformed_debit_to_income,months_since_last_delinq,inquiries_last_12m,months_since_90d_late,accounts_opened_24m,num_active_debit_accounts,total_debit_limit,num_mort_accounts,account_never_delinq_percent,public_record_bankrupt,interest_rate,square_months_since_last_delinq,never_late_payment,delinq_risk_category,log_total_debit_limit,log_num_active_debit_accounts,has_bankruptcy,loan_purpose,application_type,loan_amount,installment,interest_rate
0,3.0,NJ,MORTGAGE,90000.0,Verified,18.01,14.07,0,NJ,11.407576060361786,2.944965156500338,38.0,6,38.0,5,2,11100,1,92.9,0,14.07,1444.0,0,Moderate Risk,9.314790473332646,1.0986122886681098,0,other,individual,28000,652.53,14.07
1,10.0,HI,RENT,40000.0,Not Verified,5.04,12.61,1,other,10.596659732783579,1.7984040119467235,119.0,1,129.0,11,3,16500,0,100.0,1,12.61,14161.0,1,Perfect,9.711176264112805,1.3862943611198906,1,debt_consolidation,individual,5000,167.54,12.61
2,3.0,WI,RENT,40000.0,Source Verified,21.15,17.09,1,other,10.596659732783579,3.0978374964911444,28.0,4,28.0,13,3,4300,0,93.5,0,17.09,784.0,0,Moderate Risk,8.366602832783736,1.3862943611198906,0,other,individual,2000,71.4,17.09
3,1.0,PA,RENT,30000.0,Not Verified,10.16,6.72,1,other,10.308985993422082,2.412335956953165,119.0,0,129.0,1,2,19400,0,100.0,0,6.72,14161.0,1,Perfect,9.873079890114703,1.0986122886681098,0,debt_consolidation,individual,21600,664.19,6.72
4,10.0,CA,RENT,35000.0,Verified,57.96,14.07,1,CA,10.463131911491967,4.076859247881081,119.0,7,129.0,6,10,32700,0,100.0,0,14.07,14161.0,1,Perfect,10.39516093745751,2.3978952727983707,0,credit_card,joint,23000,786.87,14.07
5,6.0,KY,OWN,34000.0,Not Verified,6.46,6.72,0,other,10.434145214930487,2.0095554142156695,3.0,6,60.0,2,1,27200,3,78.1,0,6.72,9.0,0,High Risk,10.211009016314167,0.6931471805599453,0,other,individual,5000,153.75,6.72
6,10.0,MI,MORTGAGE,35000.0,Source Verified,23.66,13.59,0,other,10.463131911491967,3.2051824977361982,119.0,1,129.0,1,3,9100,2,100.0,0,13.59,14161.0,1,Perfect,9.116139576577355,1.3862943611198906,0,credit_card,joint,24000,553.35,13.59
7,10.0,AZ,MORTGAGE,110000.0,Source Verified,16.19,11.99,0,other,11.608244735642321,2.844327819394758,19.0,1,71.0,4,5,22250,7,93.0,0,11.99,361.0,0,Moderate Risk,10.010142230404668,1.791759469228055,0,debt_consolidation,individual,20000,444.79,11.99
8,10.0,NV,MORTGAGE,65000.0,Source Verified,36.48,13.59,0,other,11.082157933374816,3.6238074573702215,18.0,3,18.0,10,11,36700,2,97.1,0,13.59,324.0,0,Low Risk,10.510559281627845,2.4849066497880004,0,home_improvement,individual,20000,679.58,13.59
9,3.0,IL,RENT,30000.0,Not Verified,18.91,6.71,1,IL,10.308985993422082,2.991222118076105,119.0,0,129.0,5,3,14700,0,100.0,0,6.71,14161.0,1,Perfect,9.595670797663967,1.3862943611198906,0,credit_card,individual,6400,196.77,6.71
